	locus_name	gene_name	gene_special	special_score	gene_locusdist_kbp	distance_score	ppi_score	edges_in_otheractive	ppi_deg_active_cnt	ppi_deg_active_names	ppi_deg	TF_score	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	total_score	gene_type	snp_type	gene_pattern	exp_score	gene_mindist	gene_nonzero
0	rs13087058	PDZRN3	.	0.0	101.112	-24.26035800045065	88.18989231068268	270	0		0	1.956110425985344	0	0	.	0	0	.	65.88564473621737	protein_coding		s1__1	1.0	mindist	nonzero
1	rs11068997+rs3026445+rs75714509	ANAPC7	.	0.0	118.31	-24.364541502015555	85.64581311528883	264	1	CREBBP	9	1.8876291895235768	0	0	.	0	0	.	63.168900802796855	protein_coding		.	0.012946782659869616	.	.
2	rs11068997+rs3026445+rs75714509	ANKRD13A	.	0.0	53.85	-24.0206950107756	86.97693409791187	264	1	CAV1:coloc	4	1.8876291895235768	0	0	.	0	0	.	64.84386827665985	protein_coding		.	0.06911797228341834	.	.
3	rs11068997+rs3026445+rs75714509	ARPC3	.	0.0	164.939	-24.66189333890937	85.64581311528883	264	1	PAM	9	1.8876291895235768	0	0	.	0	0	.	62.871548965903045	protein_coding		.	0.00961664524888604	.	.
4	rs11068997+rs3026445+rs75714509	ATP2A2	.	0.0	4.642	-23.90816088859861	88.18989231068268	270	7	ATP1B1;CACNA1C:omim;CAV3:omim;GJA1;SKI:coloc;SLC4A4;SLC8A1	19	1.956110425985344	2	1	SP3	0	0	.	66.23784184806941	protein_coding		s1011	0.2786031476271926	mindist	nonzero
5	rs11068997+rs3026445+rs75714509	C12orf76	.	0.0	103.219	-24.27280753175143	87.13382498139671	263	0		0	1.8876291895235768	0	0	.	0	0	.	64.74864663916887	protein_coding		.	0.06284008401774506	.	.
6	rs11068997+rs3026445+rs75714509	CCDC63	.	0.0	204.477	-24.91222408779647	87.13382498139671	263	0		0	1.8876291895235768	0	0	.	0	0	.	64.10923008312382	protein_coding		.	0.033154438343515315	.	.
7	rs11068997+rs3026445+rs75714509	FAM216A	.	0.0	173.877	-24.71919635244311	87.13382498139671	263	0		0	1.8876291895235768	0	0	.	0	0	.	64.30225781847719	protein_coding		.	0.04021356311755653	.	.
8	rs11068997+rs3026445+rs75714509	FAM222A	.	0.0	231.511	-25.07664280092229	87.24542151666395	264	1	MEIS1	3	1.8876291895235768	0	0	.	0	0	.	64.05640790526525	protein_coding		.	0.031448598409996684	.	.
9	rs11068997+rs3026445+rs75714509	GIT2	.	0.0	50.959	-24.0094272963888	86.59644367707315	263	0		2	1.8876291895235768	0	0	.	0	0	.	64.47464557020794	protein_coding		.	0.04777928041656907	.	.
10	rs11068997+rs3026445+rs75714509	GLTP	.	0.0	94.391	-24.22137408447788	86.59644367707315	263	0		2	1.8876291895235768	0	0	.	0	0	.	64.26269878211885	protein_coding		.	0.03865380792039473	.	.
11	rs11068997+rs3026445+rs75714509	GPN3	.	0.0	174.035	-24.720206759793303	85.79606592004846	263	0		5	1.8876291895235768	0	0	.	0	0	.	62.96348834977874	protein_coding		.	0.010542712479570117	.	.
12	rs11068997+rs3026445+rs75714509	HVCN1	.	0.0	47.125	-23.99526413019473	86.86475299305619	263	0		1	1.8876291895235768	0	0	.	0	0	.	64.75711805238502	protein_coding		.	0.06337468957111943	.	.
13	rs11068997+rs3026445+rs75714509	IFT81	.	0.0	161.063	-24.63697729667185	86.59644367707315	263	0		2	1.8876291895235768	0	0	.	0	0	.	63.84709556992488	protein_coding		.	0.02550927422529935	.	.
14	rs11068997+rs3026445+rs75714509	PPP1CC	.	0.0	100.599	-24.25734248202888	78.67276843103699	267	4	CREBBP;PAM;RYR2:omim;SP3	36	1.8876291895235768	0	0	.	0	0	.	56.30305513853169	protein_coding		.	1.3500907815040644e-05	.	.
15	rs11068997+rs3026445+rs75714509	PPTC7	.	0.0	109.047	-24.30774132517795	85.53078151581873	263	0		6	1.8876291895235768	0	0	.	0	0	.	63.11066938016436	protein_coding		.	0.01221440375988395	.	.
16	rs11068997+rs3026445+rs75714509	RAD9B	.	0.0	140.637	-24.505680483482163	87.13382498139671	263	0		0	1.8876291895235768	0	0	.	0	0	.	64.51577368743813	protein_coding		.	0.049785321852418775	.	.
17	rs11068997+rs3026445+rs75714509	TCHP	.	0.0	45.072	-23.988058721309425	85.38183439206372	264	1	ID2	9	1.8876291895235768	0	0	.	0	0	.	63.281404860277874	protein_coding		.	0.014488444077407112	.	.
18	rs11068997+rs3026445+rs75714509	TCTN1	.	0.0	28.265	-23.939823548382293	86.44223012784438	264	1	TAFA4	6	1.8876291895235768	0	0	.	0	0	.	64.39003576898567	protein_coding		.	0.0439029835512094	.	.
19	rs11068997+rs3026445+rs75714509	TRPV4	.	0.0	130.445	-24.44071093239108	87.7846800936137	264	1	CALM1:omim	1	1.8876291895235768	0	0	.	0	0	.	65.2315983507462	protein_coding		.	0.10185445290820869	.	.
20	rs11068997+rs3026445+rs75714509	VPS29	coloc	2.425762480924711	151.209	-24.57357014422736	84.85610236372227	264	1	GJA1	12	1.8876291895235768	0	0	.	0	0	.	64.59592388994321	protein_coding		.	0.05393989662192424	.	.
21	rs12039739+rs4074536	CASQ2	omim	2.6845129491943647	68.325	-24.08404078602165	88.18989231068268	270	3	GJA1;PAM;TRDN:omim	9	1.956110425985344	0	0	.	0	0	.	68.74647489984073	protein_coding		s0111	0.9215450049667804	.	nonzero
22	rs12039739+rs4074536	NHLH2	.	0.0	50.636	-24.008199349207413	87.87265788447107	267	0		0	1.956110425985344	0	0	.	0	0	.	65.820568961249	protein_coding		.	0.049409646387807024	mindist	.
23	rs12039739+rs4074536	SLC22A15	.	0.0	186.023	-24.79651887157512	87.87265788447107	267	0		0	1.956110425985344	0	0	.	0	0	.	65.0322494388813	protein_coding		.	0.022462026083578442	.	.
24	rs12039739+rs4074536	VANGL1	.	0.0	126.355	-24.41486135130064	86.26371377692568	267	0		5	1.956110425985344	0	0	.	0	0	.	63.804962851610384	protein_coding		.	0.0065833225618342275	.	.
25	rs13314892	MITF	.	0.0	6.445	-23.90898777882472	88.18989231068268	270	2	CREBBP;XCL1	3	1.956110425985344	0	0	.	3	1	PPARGC1A	66.2370149578433	protein_coding		s1_11	1.0	mindist	nonzero
26	rs11848785+rs12880291+rs17767398	SIPA1L1	.	0.0	16.681	-23.91872808348772	88.18989231068268	270	2	MAPKAP1;SH3PXD2A	11	1.956110425985344	0	0	.	0	0	.	66.2272746531803	protein_coding		s1_11	1.0	mindist	nonzero
